gene_target,disease,manifestation,role,n_supporting_papers,evidence_tier,n_fulltext_supported,n_fulltext_partial,n_fulltext_not_supported,n_papers_fulltext_read,n_papers_abstract_only,mechanism,study_system,manifestation_in_fulltext_differs,supporting_pmids,paper_access
NF1,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,9,full text - supported,2,0,0,2,7,"Schwann-cell-specific Nf1 loss drives neurofibroma formation; combined heterozygous Cdkn2a loss abrogates senescence and enables progression through atypical neurofibroma to aggressive GEM-PNST resembling human MPNST, with p16 loss in some tumors.",human tissue;mouse model,"Malignant peripheral nerve sheath tumor (MPNST), Plexiform neurofibroma, ANNUBP / atypical neurofibroma",20043723;26857854;32816910;33588442;33641042;33831431;36598417;36818284;37670622,20043723:abstract_only;26857854:abstract_only;32816910:full_text;33588442:abstract_only;33641042:abstract_only;33831431:abstract_only;36598417:full_text;36818284:abstract_only;37670622:abstract_only
NF1,NF1,Other,driver,6,full text - supported,2,1,0,4,2,Review uses NF1 as a platform for contextual signalling; germline NF1 mutation predisposes to benign and malignant tumours across organ systems.,mouse model;review,,12351569;27269372;29847659;34072574;37937606;41256734,12351569:abstract_only;27269372:full_text;29847659:full_text;34072574:full_text;37937606:abstract_only;41256734:full_text
NF1,Not specified,High grade glioma,driver,6,full text - supported,2,1,0,4,2,"NF1 shRNA silencing in mouse SVZ progenitor cells (with p53 loss) drives mesenchymal-subtype high-grade glioma, matching human NF1-deleted/mutant MES glioblastoma expression, TAM infiltration, and TMZ resistance.",cell line;computational;mouse model,,28836293;28950062;30289729;30946477;37012245;40215269,28836293:full_text;28950062:full_text;30289729:full_text;30946477:abstract_only;37012245:full_text;40215269:abstract_only
VEGFA,Not specified,Meningioma,therapeutic target,6,full text - supported,2,0,0,2,4,"VEGF-directed agents (bevacizumab, sunitinib, vatalanib) targeting angiogenic VEGF signaling show clinical activity (PFS-6 improvements) in retrospective/small prospective trials of higher-grade meningioma with elevated microvascular density.",clinical trial,,34629433;36181606;36225651;36567410;36959063;40787520,34629433:abstract_only;36181606:full_text;36225651:full_text;36567410:abstract_only;36959063:abstract_only;40787520:abstract_only
MAP2K1/2 (MEK1/2),NF1,Non-optic LGG,therapeutic target,5,full text - supported,2,0,0,2,3,Phase II trial of the MEK1/2 inhibitor selumetinib at 25 mg/m2 twice daily in NF1-associated and BRAF-aberrant recurrent or progressive paediatric low-grade glioma.,clinical trial,,31151904;32601903;33026636;35210278;35788692,31151904:full_text;32601903:abstract_only;33026636:full_text;35210278:abstract_only;35788692:abstract_only
PI3K (family),NF2-SWN,Vestibular schwannoma,therapeutic target,3,full text - supported,2,0,0,2,1,"PI3K inhibition (pictilisib) reduces viability/growth of merlin-deficient Schwann cells in vitro and, combined with PAK inhibitor PF-3758309, reduces orthotopic schwannoma allograft growth via decreased proliferation and increased apoptosis.",mouse model,,37886501;38336988;41898501,37886501:full_text;38336988:full_text;41898501:abstract_only
PIK3CA,Not specified,Meningioma,therapeutic target,3,full text - supported,2,0,0,2,1,Alpelisib selectively inhibits the PI3Kalpha product of PIK3CA; combined with trametinib it additively inhibited viability in meningioma cell lines and fresh human meningiomas.,cell line;review,,36139608;36181606;36959063,36139608:full_text;36181606:full_text;36959063:abstract_only
PTK2 (FAK),Not specified,Meningioma,therapeutic target,3,full text - supported,2,0,0,2,1,"FAK (focal adhesion kinase) activity was enriched/increased in recurrent versus non-recurrent atypical meningiomas via kinomic profiling of patient tumor lysates, implicating it as a potential kinase target.",human tissue;review,,27158663;36181606;36959063,27158663:full_text;36181606:full_text;36959063:abstract_only
CRMP2,NF1,Pain,therapeutic target,2,full text - supported,2,0,0,2,0,"Loss of neurofibromin frees CRMP2 to bind syntaxin 1A and Cav2.2, increasing Cav2.2 membrane trafficking/currents and CGRP release; peptide disrupting CRMP2-neurofibromin/syntaxin1A interaction reduces Cav2.2 surface localization, CGRP release, and reverses allodynia/hyperalgesia in rat pain models.",mouse model,,28767512;29655575,28767512:full_text;29655575:full_text
PAK (family),NF2-SWN,Vestibular schwannoma,therapeutic target,2,full text - supported,2,0,0,2,0,"PAK inhibitor PF-3758309 combined with PI3K inhibitor pictilisib synergistically reduced merlin-deficient Schwann cell viability, decreased proliferation (Ki67), increased apoptosis, and reduced orthotopic vestibular schwannoma allograft tumor growth in mice.",mouse model,,37886501;38336988,37886501:full_text;38336988:full_text
PDGFB,Not specified,High grade glioma,driver,2,full text - supported,2,0,0,2,0,"RCAS-delivered PDGFB overexpression in Nestin-positive cells generates proneural high-grade glioma in mice, defining a subtype-specific expression signature.",mouse model,,28836293;37012245,28836293:full_text;37012245:full_text
PTEN,Not specified,High grade glioma,driver,2,full text - supported,2,0,0,2,0,"PTEN loss used to tailor virtual glioblastoma patient models via transcriptomic data; simulations show PTEN-loss patients respond poorly to Bosutinib (MEK inhibition impaired by PTEN loss), modeled within PI3K/AKT/mTOR pathway.",cell line;computational,,28950062;30289729,28950062:full_text;30289729:full_text
CDKN2A,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,13,full text - supported,1,1,0,5,8,Loss of the CDKN2A/9p21 locus encoding p16 characterizes one of the earliest steps in malignant transformation of neurofibromas to MPNST.,mouse model;review,"Malignant peripheral nerve sheath tumor (MPNST), ANNUBP / atypical neurofibroma;Other",20043723;21987445;26857854;28124441;28551330;30306639;31091306;32816910;36598417;36866403;38127282;40063513;42310314,20043723:abstract_only;21987445:abstract_only;26857854:abstract_only;28124441:abstract_only;28551330:full_text;30306639:full_text;31091306:abstract_only;32816910:full_text;36598417:full_text;36866403:abstract_only;38127282:full_text;40063513:abstract_only;42310314:abstract_only
LZTR1,SWN,Non-vestibular schwannoma,driver,11,full text - supported,1,0,0,4,7,Germline loss-of-function LZTR1 mutations predispose to multiple schwannomas; LZTR1 is a CUL3 substrate adaptor of the BTB-Kelch superfamily.,human tissue,,24362817;25335493;25480913;30442762;31425178;33263426;33588442;35361920;37820090;38884429;39062695,24362817:full_text;25335493:abstract_only;25480913:abstract_only;30442762:full_text;31425178:abstract_only;33263426:abstract_only;33588442:abstract_only;35361920:full_text;37820090:abstract_only;38884429:abstract_only;39062695:full_text
MAP2K1/2 (MEK1/2),NF1,Optic pathway glioma,therapeutic target,11,full text - supported,1,0,0,2,9,NF1-associated OPGs arise from Nf1-deficient glioma stem cells/astrocytes with dysregulated Ras signaling via Raf/MEK/MAPK and mTOR pathways; selumetinib (MEK inhibitor) achieved sustained partial responses in phase 2 trial of pediatric NF1-associated LGGs.,clinical trial,,25534823;30387339;33751171;34885143;35210278;35419473;35545829;37401302;42176046;42276973;42482124,25534823:abstract_only;30387339:abstract_only;33751171:abstract_only;34885143:full_text;35210278:abstract_only;35419473:abstract_only;35545829:full_text;37401302:abstract_only;42176046:abstract_only;42276973:abstract_only;42482124:abstract_only
MAP2K1/2 (MEK1/2),NF1,Pain,therapeutic target,11,full text - supported,1,1,0,3,8,"Selumetinib, an oral MEK1/2 inhibitor blocking RAS/MAPK pathway overactive due to neurofibromin loss, produced durable plexiform neurofibroma shrinkage and clinically meaningful decreases in tumor-related pain intensity and interference.",clinical trial,"Pain, Plexiform neurofibroma;Plexiform neurofibroma, Pain",28029918;32108293;32187457;35467749;35788692;38975694;39514826;39762421;40473450;40565537;42394972,28029918:full_text;32108293:abstract_only;32187457:full_text;35467749:abstract_only;35788692:abstract_only;38975694:full_text;39514826:abstract_only;39762421:abstract_only;40473450:abstract_only;40565537:abstract_only;42394972:abstract_only
NF2,NF2-SWN,Vestibular schwannoma,driver,11,full text - supported,1,0,0,3,8,"NF2 mutation causes loss of tumor-suppressor merlin, activating PI3K/Akt, mTORC1, Ras/MAPK, Hippo/YAP and other pathways driving vestibular schwannoma tumorigenesis in NF2-related and sporadic cases.",review,,26564072;30145722;30993672;31425178;33447015;33588442;34453890;37820090;38928264;39083549;41293003,26564072:abstract_only;30145722:abstract_only;30993672:abstract_only;31425178:abstract_only;33447015:full_text;33588442:abstract_only;34453890:abstract_only;37820090:abstract_only;38928264:abstract_only;39083549:full_text;41293003:full_text
SMARCB1,SWN,Non-vestibular schwannoma,driver,10,full text - supported,1,0,0,2,8,SMARCB1 germline mutation is a first hit in schwannomatosis; biallelic loss of SMARCB1 and NF2 in schwannomas follows 22q loss.,human tissue,,24362817;25335493;29230670;31425178;33263426;33588442;35361920;35855174;37820090;38884429,24362817:full_text;25335493:abstract_only;29230670:abstract_only;31425178:abstract_only;33263426:abstract_only;33588442:abstract_only;35361920:full_text;35855174:abstract_only;37820090:abstract_only;38884429:abstract_only
MAP2K1/2 (MEK1/2),NF1,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,8,full text - supported,1,0,0,1,7,MEK-ERK is hyperactivated in Ras-driven MPNSTs; combining CDK4/6 and MEK inhibitors is proposed to negate a key resistance mechanism in MPNST.,review,,33456709;35788692;39620202;39793045;40630199;41504652;42310314;42540436,33456709:full_text;35788692:abstract_only;39620202:abstract_only;39793045:abstract_only;40630199:abstract_only;41504652:abstract_only;42310314:abstract_only;42540436:abstract_only
NF2,NF2-SWN,Ependymoma,driver,8,full text - supported,1,0,1,2,6,"NF2 is the only known driver of SP-EPN; biallelic loss (mutation plus 22q loss) defines a molecular/transcriptional subtype with lower NF2 expression, more aggressive phenotype, and worse progression-free survival.",cell line;human tissue,Non-vestibular schwannoma,26564072;30145722;30993672;31425178;37820090;38265489;38928264;39083549,26564072:abstract_only;30145722:abstract_only;30993672:abstract_only;31425178:abstract_only;37820090:abstract_only;38265489:full_text;38928264:abstract_only;39083549:full_text
CDKN2A,NF1,ANNUBP / atypical neurofibroma,driver,7,full text - supported,1,1,0,3,4,"Cdkn2a loss combined with Nf1 loss abrogates senescence checkpoint in Schwann cells, enabling progression from neurofibroma to atypical neurofibroma (GEM-ANF) and subsequent transformation to MPNST-like tumors.",human tissue;mouse model,"ANNUBP / atypical neurofibroma, Malignant peripheral nerve sheath tumor (MPNST), Plexiform neurofibroma",26857854;31091306;32816910;36636686;38127282;42135588;42310314,26857854:abstract_only;31091306:abstract_only;32816910:full_text;36636686:full_text;38127282:full_text;42135588:abstract_only;42310314:abstract_only
NF1,NF1,Plexiform neurofibroma,driver,7,full text - supported,1,0,0,2,5,Nf1 loss in developing Schwann cells with Ink4a/Arf loss produces stepwise progression from plexiform neurofibroma to atypical neurofibroma and MPNST.,mouse model,"Plexiform neurofibroma, ANNUBP / atypical neurofibroma, Malignant peripheral nerve sheath tumor (MPNST)",20043723;26857854;32601904;32816910;33108355;33588442;36139671,20043723:abstract_only;26857854:abstract_only;32601904:abstract_only;32816910:full_text;33108355:abstract_only;33588442:abstract_only;36139671:full_text
BRAF,Not specified,Non-optic LGG,driver,6,full text - supported,1,1,0,2,4,BRAF-fusion (KIAA1549:BRAF) and BRAF V600E-driven pediatric low-grade gliomas treated with MEK inhibitor trametinib showed disease control (PR/MR/SD) in a clinical patient cohort.,clinical trial,,30239952;31151904;33026636;38195220;40241281;42414678,30239952:abstract_only;31151904:full_text;33026636:full_text;38195220:abstract_only;40241281:abstract_only;42414678:abstract_only
TP53,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,6,full text - supported,1,1,0,2,4,"Multiomic MPNST profiling shows TP53 among recurrent somatic events, alongside CDKN2A, EED and NF1, in rearrangement profiles of high-grade MPNST.",human tissue;review,"Malignant peripheral nerve sheath tumor (MPNST), ANNUBP / atypical neurofibroma",20043723;24470531;28551330;36598417;37670622;39500722,20043723:abstract_only;24470531:abstract_only;28551330:full_text;36598417:full_text;37670622:abstract_only;39500722:abstract_only
NF1,NF1,Cutaneous neurofibroma,driver,5,full text - supported,1,0,0,1,4,"NF1 loss in Schwann cell lineage causes de-differentiation to progenitor-like state, hyperproliferation via Ras signaling; biallelic NF1 inactivation in SOX10+ cells generates cNF and pNF in GEM/hiPSC models.",review,"Cutaneous neurofibroma, Plexiform neurofibroma, Malignant peripheral nerve sheath tumor (MPNST), ANNUBP / atypical neurofibroma",20043723;29925695;32601904;33108355;36139671,20043723:abstract_only;29925695:abstract_only;32601904:abstract_only;33108355:abstract_only;36139671:full_text
NF2,Not specified,Meningioma,driver,5,full text - supported,1,0,0,1,4,Meningioma was among the first tumours linked to a genomic driver through NF2 mutation; osteoglycin promotes meningioma growth by downregulating NF2.,cell line,,28759666;28923059;36959063;38844366;41642951,28759666:abstract_only;28923059:full_text;36959063:abstract_only;38844366:abstract_only;41642951:abstract_only
MTOR,NF1,Optic pathway glioma,therapeutic target,4,full text - supported,1,0,0,1,3,Review: NF1-associated and sporadic low-grade gliomas show abnormal signalling upstream of mTOR; everolimus selectively inhibits mTOR in optic pathway glioma.,review,,25534823;30387339;35545829;37401302,25534823:abstract_only;30387339:abstract_only;35545829:full_text;37401302:abstract_only
MTOR,NF2-SWN,Meningioma,therapeutic target,4,full text - supported,1,1,0,2,2,Phase 0 pre-surgical everolimus trial in vestibular schwannoma and meningioma; mTORC1 inhibition assessed for pharmacodynamics and resistance mechanisms.,clinical trial;human tissue,"Ependymoma;Vestibular schwannoma, Meningioma",25012485;29982664;34224367;38058737,25012485:abstract_only;29982664:abstract_only;34224367:full_text;38058737:full_text
NF2,SWN,Non-vestibular schwannoma,driver,4,full text - supported,1,1,0,2,2,"Three-event model: germline first hit, 22q loss, then a different somatic NF2 mutation in every schwannoma, giving biallelic NF2 loss.",human tissue;review,"Non-vestibular schwannoma, Vestibular schwannoma",24362817;25335493;29230670;35361920,24362817:full_text;25335493:abstract_only;29230670:abstract_only;35361920:full_text
NF2,NF2-SWN,Other,driver,4,full text - supported,1,1,1,3,1,"Review: NF2 arises from mutation of the NF2 tumour suppressor, causing Schwann-cell-derived tumours with hearing loss and vestibular dysfunction.",cell line;review,"Vestibular schwannoma, Other",31341276;33850002;34072574;39116228,31341276:full_text;33850002:abstract_only;34072574:full_text;39116228:full_text
RAS (pan),NF1,Cutaneous neurofibroma,driver,4,full text - supported,1,2,0,3,1,"NF1 loss in Hoxb7-lineage Schwann cell precursors causes biallelic Nf1 inactivation, driving MAPK/RAS pathway hyperactivation (increased p-ERK1/2) and generating diffuse cutaneous neurofibroma, modifiable by Hippo pathway alterations.",mouse model;review,"Cutaneous neurofibroma, Plexiform neurofibroma;Cutaneous neurofibroma, Plexiform neurofibroma, Malignant peripheral nerve sheath tumor (MPNST), ANNUBP / atypical neurofibroma;Other",12432832;30348677;35188187;36139671,12432832:abstract_only;30348677:full_text;35188187:full_text;36139671:full_text
MAP2K1/2 (MEK1/2),NF1,Cognition / Behavioral / Learning,therapeutic target,3,full text - supported,1,0,0,1,2,"Selumetinib, an oral MEK inhibitor, treats NF1 by restoring RAS-MAPK activity; clinical trial in NF1 patients showed reduced plexiform neurofibroma volume and significant improvements in neurocognitive function (VCI, PSI, FSIQ scores).",clinical trial,"Cognition / Behavioral / Learning, Plexiform neurofibroma",35788692;38975694;40766628,35788692:abstract_only;38975694:full_text;40766628:abstract_only
RAS (pan),NF1,Cognition / Behavioral / Learning,driver,3,full text - supported,1,0,0,1,2,"Neurofibromin negatively regulates RAS; RAS hyperactivation increases GABAergic transmission/inhibition, impairing hippocampal LTP and causing learning/social behavior deficits in Nf1+/- mice; KRAS/NRAS depletion or MEK inhibition rescues deficits.",mouse model,,12432832;28256688;35188187,12432832:abstract_only;28256688:abstract_only;35188187:full_text
SMARCB1,SWN,Pain,driver,3,full text - supported,1,0,0,1,2,"SMARCB1 germline pathogenic variants cause a subset of schwannomatosis, associated with pain as a prominent feature, increased malignancy/MPNST risk, and higher risk of unilateral vestibular schwannomas.",human tissue,,33263426;35361920;38884429,33263426:abstract_only;35361920:full_text;38884429:abstract_only
ATRX,Not specified,High grade glioma,driver,2,full text - supported,1,0,0,1,1,"ATRX loss/mutation found mutually exclusive with TERT promoter mutation in gcGBM, more frequent with higher giant cell content, occurring without IDH/H3F3A/TERT mutations, suggesting ALT-mediated telomere maintenance and higher frequency in gcGBM vs IDHwt GBM.",human tissue,,32642724;33606385,32642724:full_text;33606385:abstract_only
BIRC5,NF1,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,2,full text - supported,1,0,0,1,1,Spatial gene expression profiling of NF1 peripheral nerve sheath tumour progression; BIRC5 quantified by immunohistochemistry and knocked down by siRNA in MPNST lines.,human tissue,"Malignant peripheral nerve sheath tumor (MPNST), Plexiform neurofibroma",28314790;38127282,28314790:abstract_only;38127282:full_text
EGFR,NF2-SWN,Vestibular schwannoma,driver,2,full text - supported,1,0,0,1,1,"Merlin deficiency dysregulates RTK/mTORC1 signaling; Lapatinib (EGFR/ErbB2 inhibitor) showed in vitro growth inhibition and, in a phase II NF2 trial, tumor volume reduction and hearing improvement in some patients.",clinical trial,,20511180;32232723,20511180:abstract_only;32232723:full_text
EGFR,Not specified,High grade glioma,driver,2,full text - supported,1,0,0,1,1,"EGFR amplification is a transcriptomic driver alteration in virtual GBM patients; modeled as a kinase pathway node inhibited by drugs (cabozantinib, ibrutinib), affecting proliferation/apoptosis simulations.",computational,,28950062;40215269,28950062:full_text;40215269:abstract_only
HDAC11,NF1,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,2,full text - supported,1,0,0,1,1,"FT895, an HDAC11-specific inhibitor with IC50 of 3 nM, impairs mitochondrial function in MPNST cells and enhances cordycepin cytotoxicity.",cell line,,35261809;38203448,35261809:abstract_only;38203448:full_text
MAP2K1/2 (MEK1/2),NF2-SWN,Meningioma,therapeutic target,2,full text - supported,1,1,0,2,0,MEK1/2 inhibitor selumetinib combined with the neddylation inhibitor MLN3651 in primary merlin-deficient meningioma cells; DCAF1 facilitates KSR1-dependent Raf/MEK/ERK activation.,cell line;human tissue,Ependymoma,32629964;38058737,32629964:full_text;38058737:full_text
MAP2K1/2 (MEK1/2),NF1,Cutaneous neurofibroma,therapeutic target,2,full text - supported,1,1,0,2,0,"Bibliometric analysis identifies MEK inhibitors as an emerging cutaneous neurofibroma strategy, including the topical MEK inhibitor gel NFX-179.",clinical trial;computational,"Plexiform neurofibroma, Cognition / Behavioral / Learning, Other",38279591;38975694,38279591:full_text;38975694:full_text
NF1,Not specified,Other,driver,2,full text - supported,1,0,0,1,1,"SAG/RBX2 E3 ubiquitin ligase targets NF1 for degradation, modulating RAS activity; Sag-mutant mice die with severe vascular and nervous system abnormalities.",mouse model,,22118770;26637774,22118770:full_text;26637774:abstract_only
NF1,NF1,Pain,driver,2,full text - supported,1,0,0,1,1,"Loss of neurofibromin-CRMP2 interaction increases CRMP2 binding to syntaxin 1A, CaV2.2, and NaV1.7, elevating currents, excitability, CGRP release, and hyperalgesia; peptide disrupting this interface reverses effects.",mouse model,,29655575;29925695,29655575:full_text;29925695:abstract_only
NF1,NF1,ANNUBP / atypical neurofibroma,driver,2,full text - supported,1,0,0,1,1,"Germline Nf1 loss in Schwann cells combined with Cdkn2a loss drives stepwise progression from plexiform neurofibroma to atypical neurofibroma (ANF/ANNUBP) and then to MPNST, with ANF showing reduced senescence and MPNST-like transcriptomic changes.",mouse model,"Plexiform neurofibroma, ANNUBP / atypical neurofibroma, Malignant peripheral nerve sheath tumor (MPNST)",32601904;32816910,32601904:abstract_only;32816910:full_text
RAS (pan),SWN,Non-vestibular schwannoma,driver,2,full text - supported,1,1,0,2,0,"LZTR1 forms a complex with CUL3 and all three RAS isoforms, regulating RAS ubiquitination; LZTR1 loss in Schwann cells drives dedifferentiation and proliferation.",human tissue;mouse model,"Non-vestibular schwannoma, Other",30442762;39062695,30442762:full_text;39062695:full_text
RAS (pan),NF1,Other,modifier,2,full text - supported,1,1,0,2,0,"Review: the RASopathies, including neurofibromatosis type 1, are caused by germline mutations in components or regulators of the Ras/MAPK pathway.",cell line;review,,23875798;41256734,23875798:full_text;41256734:full_text
TP53,Not specified,High grade glioma,driver,2,full text - supported,1,0,0,1,1,TP53 mutated in 86% and altered by mutation or protein overexpression in 100% of gcGBM cases; proposed as an early driver event causing genomic instability in gcGBM tumorigenesis.,human tissue,,32642724;33606385,32642724:full_text;33606385:abstract_only
VEGFA,NF1,Optic pathway glioma,therapeutic target,2,full text - supported,1,0,0,1,1,"Anti-VEGF agent bevacizumab inhibits VEGF-driven angiogenesis in OPG/LGG, achieving objective responses and visual improvement in up to 86% of refractory NF1 and sporadic cases.",review,,35545829;37401302,35545829:full_text;37401302:abstract_only
YAP1-TEAD,NF2-SWN,Vestibular schwannoma,therapeutic target,2,full text - supported,1,1,0,2,0,"Merlin loss activates hippo/YAP-TAZ-TEAD1 signaling in Schwann cells, driving proliferation, macrophage chemotaxis, and angiogenesis; TEAD1/YAP-TAZ inhibition (VT3989 and other TEADi) reversed tumorigenic signaling and reduced tumor cell survival in human VS cultures and NF2 mouse model.",cell line;human tissue,,39083549;41293003,39083549:full_text;41293003:full_text
YAP1/WWTR1 (YAP/TAZ),NF2-SWN,Vestibular schwannoma,modifier,2,full text - supported,1,0,0,1,1,"NF2 loss activates YAP/TAZ nuclear localization, driving TEAD-dependent transcription (e.g., CTGF, ALDH1A1) that promotes schwannoma proliferation; YAP/TAZ knockdown or TEAD auto-palmitoylation inhibitors block proliferation and shrink tumors in vestibular ganglia and DRG in NF2-null mouse and human schwannoma cells.",mouse model,,34453890;36148553,34453890:abstract_only;36148553:full_text
NF2,Not specified,Other,driver,8,full text - partial,0,1,2,5,3,NF2/Merlin knockdown in prostate cancer and melanoma lines; WNT5a-ROR2 activates Hippo to suppress YAP1. No neurofibromatosis manifestation studied.,cell line,,26637774;36622276;37080959;38739347;39058094;39325963;41004338;41364765,26637774:abstract_only;36622276:full_text;37080959:full_text;38739347:abstract_only;39058094:full_text;39325963:abstract_only;41004338:full_text;41364765:full_text
